Date : 2024-12-03 23:12:51
Directory : c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria
Total : 107 files,  4318 codes, 86 comments, 946 blanks, all 5350 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| demo\target\classes\pizzeria\Controller                                                                                                                                   |         16 |        819 |          0 |         48 |        867 |
| demo\target\classes\pizzeria\Controller (Files)                                                                                                                           |          4 |         86 |          0 |          0 |         86 |
| demo\target\classes\pizzeria\Controller\dao                                                                                                                               |         12 |        733 |          0 |         48 |        781 |
| demo\target\classes\pizzeria\Controller\dao (Files)                                                                                                                       |          6 |         41 |          0 |          0 |         41 |
| demo\target\classes\pizzeria\Controller\dao\impl                                                                                                                          |          6 |        692 |          0 |         48 |        740 |
| demo\target\classes\pizzeria\Exceptions                                                                                                                                   |          1 |          6 |          0 |          0 |          6 |
| demo\target\classes\pizzeria\Modelo                                                                                                                                       |         20 |        408 |          0 |          1 |        409 |
| demo\target\classes\pizzeria\utils                                                                                                                                        |          1 |         96 |          0 |          0 |         96 |
| demo\target\test-classes                                                                                                                                                  |          7 |        131 |          0 |          0 |        131 |
| demo\target\test-classes\pizzeria                                                                                                                                         |          7 |        131 |          0 |          0 |        131 |
| demo\target\test-classes\pizzeria\controller                                                                                                                              |          7 |        131 |          0 |          0 |        131 |
| demo\target\test-classes\pizzeria\controller (Files)                                                                                                                      |          2 |         51 |          0 |          0 |         51 |
| demo\target\test-classes\pizzeria\controller\dao                                                                                                                          |          5 |         80 |          0 |          0 |         80 |
| demo\target\test-classes\pizzeria\controller\dao\impl                                                                                                                     |          5 |         80 |          0 |          0 |         80 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\README.md                                                                          | Markdown |          3 |          0 |          0 |          3 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\clientess.xml                                                                      | XML      |         30 |          0 |          1 |         31 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\pom.xml                                                                       | XML      |         81 |          0 |          2 |         83 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\App.java                                               | Java     |         26 |          3 |          9 |         38 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\ContraladorCliente.java                     | Java     |         31 |         68 |         28 |        127 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\ContraladorPedido.java                      | Java     |         59 |          0 |         22 |         81 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\ControladorIngredientes.java                | Java     |         13 |          0 |          7 |         20 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\ControladorProducto.java                    | Java     |         20 |          0 |         10 |         30 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\InnerAlergeno.java                      | Java     |          9 |          0 |          8 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\InnerClienteDAO.java                    | Java     |         11 |          0 |         12 |         23 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\InnerIngredienteDAO.java                | Java     |         10 |          0 |          6 |         16 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\InnerLineaPedidoDAO.java                | Java     |         10 |          0 |          7 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\InnerPedido.java                        | Java     |         10 |          0 |          7 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\InnerProductoDAO.java                   | Java     |          8 |          0 |         11 |         19 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\impl\JdbcAlergeno.java                  | Java     |        125 |          0 |         44 |        169 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\impl\JdbcClienteDAO.java                | Java     |        108 |          0 |         32 |        140 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\impl\JdbcIngredienteDAO.java            | Java     |        121 |          0 |         39 |        160 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\impl\JdbcLineaPedido.java               | Java     |         44 |          1 |         21 |         66 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\impl\JdbcPedidoDAO.java                 | Java     |        110 |          0 |         43 |        153 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Controller\dao\impl\JdbcProductoDAO.java               | Java     |        223 |          1 |         52 |        276 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Exceptions\ExceptionFoundCliente.java                  | Java     |          6 |          0 |          3 |          9 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Alergeno.java                                   | Java     |         28 |          0 |         11 |         39 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Bebida.java                                     | Java     |         22 |          1 |         11 |         34 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Cliente.java                                    | Java     |        113 |          1 |         26 |        140 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Clientes.java                                   | Java     |         15 |          0 |          7 |         22 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Conexion.java                                   | Java     |         16 |          0 |         10 |         26 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\EstadoPedido.java                               | Java     |         13 |          0 |          6 |         19 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\GestionarFicheros.java                          | Java     |         84 |          0 |         36 |        120 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Ingredientes.java                               | Java     |         50 |          0 |         17 |         67 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\JDBC.java                                       | Java     |         80 |          3 |         26 |        109 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\LineaPedido.java                                | Java     |         40 |          4 |         13 |         57 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Pagable.java                                    | Java     |          4 |          0 |          8 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\PagarEfectivo.java                              | Java     |          7 |          0 |          5 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\PagarTarjeta.java                               | Java     |          7 |          0 |          4 |         11 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Pasta.java                                      | Java     |         20 |          0 |          9 |         29 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Pedido.java                                     | Java     |         65 |          0 |         22 |         87 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Pizza.java                                      | Java     |         30 |          0 |         11 |         41 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Producto.java                                   | Java     |         33 |          3 |         11 |         47 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\SizeApp.java                                    | Java     |         13 |          0 |          6 |         19 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\Tipo.java                                       | Java     |         13 |          0 |          7 |         20 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\Modelo\coche.java                                      | Java     |         45 |          0 |         33 |         78 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\hola.py                                                | Python   |         51 |          0 |          7 |         58 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\main2.java                                             | Java     |         28 |          1 |          7 |         36 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\mainJdbc.java                                          | Java     |         27 |          0 |          8 |         35 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\mainPizzeria.java                                      | Java     |        304 |          0 |         67 |        371 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\java\pizzeria\utils\DatabaseConfig.java                              | Java     |        160 |          0 |         27 |        187 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\resources\pizzeria\primary.fxml                                      | XML      |         14 |          0 |          3 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\main\resources\pizzeria\secondary.fxml                                    | XML      |         14 |          0 |          3 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\ControladorClienteTest.java                 | Java     |         53 |          0 |         17 |         70 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\ControladorProductoTest.java                | Java     |         40 |          0 |         14 |         54 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\dao\impl\JdbcAlergenoTest.java              | Java     |         36 |          0 |         18 |         54 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\dao\impl\JdbcIngredienteDAOTest.java        | Java     |         48 |          0 |         24 |         72 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\dao\impl\JdbcLineaPedidoTest.java           | Java     |         23 |          0 |         10 |         33 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\dao\impl\JdbcPedidoDAOTest.java             | Java     |         64 |          0 |         18 |         82 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\src\test\java\pizzeria\controller\dao\impl\JdbcProductoDAOTest.java           | Java     |         24 |          0 |         12 |         36 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\App.class                                             | Java     |         28 |          0 |          0 |         28 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\ContraladorCliente.class                   | Java     |         21 |          0 |          0 |         21 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\ContraladorPedido.class                    | Java     |         42 |          0 |          0 |         42 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\ControladorIngredientes.class              | Java     |         11 |          0 |          0 |         11 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\ControladorProducto.class                  | Java     |         12 |          0 |          0 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\InnerAlergeno.class                    | Java     |          8 |          0 |          0 |          8 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\InnerClienteDAO.class                  | Java     |         10 |          0 |          0 |         10 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\InnerIngredienteDAO.class              | Java     |          5 |          0 |          0 |          5 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\InnerLineaPedidoDAO.class              | Java     |          6 |          0 |          0 |          6 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\InnerPedido.class                      | Java     |          6 |          0 |          0 |          6 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\InnerProductoDAO.class                 | Java     |          6 |          0 |          0 |          6 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\impl\JdbcAlergeno.class                | Java     |        127 |          0 |         12 |        139 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\impl\JdbcClienteDAO.class              | Java     |        114 |          0 |          6 |        120 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\impl\JdbcIngredienteDAO.class          | Java     |        124 |          0 |          9 |        133 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\impl\JdbcLineaPedido.class             | Java     |         42 |          0 |          2 |         44 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\impl\JdbcPedidoDAO.class               | Java     |         90 |          0 |          3 |         93 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Controller\dao\impl\JdbcProductoDAO.class             | Java     |        195 |          0 |         16 |        211 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Exceptions\ExceptionFoundCliente.class                | Java     |          6 |          0 |          0 |          6 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Alergeno.class                                 | Java     |         15 |          0 |          0 |         15 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Bebida.class                                   | Java     |         22 |          0 |          0 |         22 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Cliente.class                                  | Java     |         31 |          0 |          0 |         31 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Clientes.class                                 | Java     |          8 |          0 |          0 |          8 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Conexion.class                                 | Java     |         12 |          0 |          0 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\EstadoPedido.class                             | Java     |         12 |          0 |          0 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\GestionarFicheros.class                        | Java     |         83 |          0 |          1 |         84 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Ingredientes.class                             | Java     |         12 |          0 |          0 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\JDBC.class                                     | Java     |         60 |          0 |          0 |         60 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\LineaPedido.class                              | Java     |         18 |          0 |          0 |         18 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Pagable.class                                  | Java     |          2 |          0 |          0 |          2 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\PagarEfectivo.class                            | Java     |          6 |          0 |          0 |          6 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\PagarTarjeta.class                             | Java     |          6 |          0 |          0 |          6 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Pasta.class                                    | Java     |         18 |          0 |          0 |         18 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Pedido.class                                   | Java     |         26 |          0 |          0 |         26 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Pizza.class                                    | Java     |         15 |          0 |          0 |         15 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Producto.class                                 | Java     |         21 |          0 |          0 |         21 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\SizeApp.class                                  | Java     |         12 |          0 |          0 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\Tipo.class                                     | Java     |         12 |          0 |          0 |         12 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\Modelo\coche.class                                    | Java     |         17 |          0 |          0 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\hola.py                                               | Python   |         51 |          0 |          7 |         58 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\main2.class                                           | Java     |         15 |          0 |          0 |         15 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\mainJdbc.class                                        | Java     |         18 |          0 |          0 |         18 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\mainPizzeria.class                                    | Java     |         76 |          0 |          6 |         82 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\primary.fxml                                          | XML      |         14 |          0 |          3 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\secondary.fxml                                        | XML      |         14 |          0 |          3 |         17 |
| c:\Users\criss\Curso2DAM\AcceseDatos\Practica_0_Pizza\Acceso_datos\Practica_0_Pizzeria\demo\target\classes\pizzeria\utils\DatabaseConfig.class                            | Java     |         96 |          0 |          0 |         96 |
